timestamps,TP9,AF7,AF8,TP10,Right AUX
1568081286.630,25.879,34.668,33.691,62.500,-61.035
1568081286.634,22.461,37.109,30.762,62.988,49.316
1568081286.638,42.480,29.785,30.762,15.625,85.938
1568081286.642,47.852,23.926,29.785,3.418,10.742
1568081286.646,21.973,26.855,28.809,46.387,0.977
1568081286.649,10.254,29.785,29.785,61.523,31.250
1568081286.653,36.133,29.785,27.344,24.414,34.180
1568081286.657,55.176,25.391,27.344,11.230,-10.254
1568081286.661,18.066,26.367,29.785,30.762,-10.742
1568081286.665,-10.254,32.227,27.344,44.922,4.883
1568081286.669,11.230,30.762,26.855,29.297,28.809
1568081286.673,30.273,29.785,23.926,-13.184,20.996
1568081286.677,21.484,33.203,18.555,4.395,40.039
1568081286.681,0.977,37.598,21.973,49.316,67.871
1568081286.685,1.465,39.062,23.926,29.297,68.848
1568081286.689,29.785,36.133,20.020,-11.719,31.738
1568081286.692,36.621,39.551,20.020,-7.324,21.484
1568081286.696,12.207,41.504,21.484,34.180,47.852
1568081286.700,5.859,37.109,20.020,49.316,-18.066
1568081286.704,27.344,32.715,16.113,7.324,-18.555
1568081286.708,33.203,30.762,14.160,-11.230,6.836
1568081286.712,10.254,30.762,18.555,28.809,5.371
1568081286.716,0.488,30.762,22.949,52.734,42.480
1568081286.720,18.555,33.691,20.508,18.555,31.250
1568081286.724,37.598,37.598,26.367,-4.395,46.875
1568081286.728,25.879,33.203,30.762,27.344,61.035
1568081286.732,6.836,24.902,26.855,60.059,40.039
1568081286.735,22.949,28.809,25.391,45.898,27.832
1568081286.739,46.875,32.227,22.461,11.230,16.602
1568081286.743,39.062,31.250,24.414,24.414,34.668
1568081286.747,17.578,30.762,32.227,66.895,22.461
1568081286.751,19.043,34.180,32.715,60.547,37.598
1568081286.755,43.457,39.062,29.297,13.184,85.449
1568081286.759,43.945,40.039,34.180,9.277,55.664
1568081286.763,18.555,35.645,38.574,51.758,2.930
1568081286.767,13.184,33.203,31.250,62.500,8.789
